Produtos;Média de VLR_MERCADORIA
FERTILIZANTE 12-40-00 10%S+0; 102.210,21 
FERTILIZANTE 13%N - 24%P205 - 13%K20; 118.998,00 
FERTILIZANTE 15%N - 00%P2O5 - 40%K2O; 69.552,00 
FERTILIZANTE 15.00.40 SP BAG 1000KG; 94.057,50 
FERTILIZANTE 16-16-16 - BAG; 136.433,81 
FERTILIZANTE 18%N - 06%P2O5 - 24%K2O; 109.879,40 
FERTILIZANTE 18%N - 18%P205 - 18%K20; 85.591,67 
FERTILIZANTE 18%N - 4%P2O5 - 24%K2O; 91.411,62 
FERTILIZANTE 18.05.27 +0,3%B+0,25%MN+0,3%ZN UREIA FORTE; 107.993,27 
FERTILIZANTE 19.07.24 +0,32%B+0,032MO+0,48%ZN UREIA FORTE; 90.983,00 
FERTILIZANTE 19-04-19 +2%s +0,2%B; 87.334,38 
FERTILIZANTE 19-04-19 FERTIVA SP BAG 1000KG; 75.845,10 
FERTILIZANTE 20%N - 05%P2O5 - 20%K2O; 86.495,71 
FERTILIZANTE 20-00-20; 105.966,36 
FERTILIZANTE 24%N - 05%P2O5 - 24%K2O; 79.259,91 
FERTILIZANTE 26%N - 00%P2O5 - 26%K2O; 84.010,92 
FERTILIZANTE 30%N - 00%P2O5 - 10% K2O; 87.663,61 
FERTILIZANTE 30.15.00; 59.300,00 
FERTILIZANTE 36%N - 00%P2O5 - 12%K2O; 88.736,38 
FERTILIZANTE 46 - 00 - 00; 122.018,00 
FERTILIZANTE 46% UREIA; 83.943,90 
FERTILIZANTE 46%N-00%P2O5; 43.816,86 
FERTILIZANTE CLORETO DE POTASSIO 00-00-60; 70.930,25 
FERTILIZANTE Cloreto de Potassio 60.5% K2O; 69.344,38 
FERTILIZANTE CLORETO DE POTASSIO DE 60% GRANULADO; 51.550,38 
FERTILIZANTE CLORETO DE POTASSIO GRANULADO; 68.388,90 
FERTILIZANTE COPPERMAN 20 GRAN BG; 36.639,68 
FERTILIZANTE FOSFATO MONOAMONICO; 157.068,02 
FERTILIZANTE KCL 60% BAG 1000KG; 56.051,50 
FERTILIZANTE MAP 11-52; 175.600,43 
FERTILIZANTE MAP PURIFICADO 12-61-00; 188.947,58 
FERTILIZANTE MINERAL; 122.414,23 
FERTILIZANTE MINERAL 10%B; 101.920,00 
FERTILIZANTE MINERAL COMPLEXO; 91.066,61 
FERTILIZANTE MINERAL COMPLEXO 00-21-00; 63.835,02 
FERTILIZANTE MINERAL COMPLEXO 00-23-00+17%CA+10%; 85.082,60 
FERTILIZANTE MINERAL MISTO; 83.976,39 
FERTILIZANTE MINERAL NPK 00-00-60 A GRANEL; 110.281,20 
FERTILIZANTE MINERAL SIMPLES; 70.823,35 
FERTILIZANTE MINERAL SIMPLES - FOSFATO PRECIPITADO; 5.774,22 
FERTILIZANTE MINERAL SIMPLES 00-46-00+10,0%CA; 109.026,96 
FERTILIZANTE MINERAL SIMPLES CLORETO DE POTASSIO K20 SOL H20 60%; 47.850,39 
FERTILIZANTE MINERAL SIMPLES FOSFATO MONAMONICO 11.52.00 44% P2O5 H2O; 80.093,63 
FERTILIZANTE MINERAL SIMPLES SUPERFOSFATO; 38.794,61 
FERTILIZANTE MP GR 08-40-00 + 5%S; 99.999,81 
FERTILIZANTE NPK  04-28-03; 108.100,00 
FERTILIZANTE ORGANICO COMPOSTO CLASSE A; 3.692,44 
FERTILIZANTE SS (00-18) 16%CA+10%S GRANEL; 63.859,22 
FERTILIZANTE SSP 00-21-00; 61.422,29 
FERTILIZANTE SULFATO DE AMONIO 21 N; 46.727,19 
FERTILIZANTE SULFATO DE AMONIO GRANULADO; 41.171,59 
FERTILIZANTE SULFATO DE POTASSIO E MAGNESIO; 104.196,64 
FERTILIZANTE SUPERFOSFATO; 109.681,92 
FERTILIZANTE SUPERFOSFATO SIMPLES; 71.740,70 
FERTILIZANTE TSP 46% P205 10%CA GRANEL; 107.249,19 
FERTILIZANTE Ureia 46% N; 74.176,29 
FERTILIZANTE UREIA GRANULADO; 77.663,07 
FERTILIZANTE UREIA N PRO MAX GRANULADO; 98.388,29 
FERTILIZANTE.; 78.406,56 
FERTILIZANTE: 00%N - 00%P2O5 - 21,5%K2O; 114.699,26 
Fertilizante: 04%N - 14%P2O5 - 08%K2O+12,2%Ca +11,2%S 11,2%S(SO4; 64.495,20 
Fertilizante: 04%N - 24%P2O5 - 08%K2O+10,2%Ca +6,2%S 6,2%S(SO4) +0,050%B+0,100%Mn +0,10%Zn; 117.792,00 
FERTILIZANTE: 04%N - 30%P2O5 - 10%K2O; 96.813,90 
FERTILIZANTE: 07%N - 34%P2O5 - 12%K2O; 193.140,00 
Fertilizante: 07%N - 35%P2O5 - 10%K2O; 59.822,58 
FERTILIZANTE: 08% N - 28%P2O5 - 20% K20; 90.122,76 
FERTILIZANTE: 08% N - 28%P2O5 - 20%K2O; 93.589,02 
Fertilizante: 08%N - 20%P2O5 - 10%K2O+5,1%Ca +7,9%S 7,9%S(SO4) +0,030%B+0,100%Mn +0,10%Zn; 82.850,10 
FERTILIZANTE: 08%N - 40%P2O5 - 00%K2O; 74.250,00 
FERTILIZANTE: 10%N - 51%PSO5 - 00%K20; 148.915,67 
FERTILIZANTE: 10%N-46%P2O5-00%K2O+9,0%S2,0%S(SO4)- FERTILIZANTE MINERAL COMPLEXO; 182.806,11 
FERTILIZANTE: 18%N - 05%P2O5 - 27%K2O; 123.749,18 
FERTILIZANTE: 20% N - 00%P2O5 - 30% K2O; 108.566,76 
FERTILIZANTE: 20%N - 00%P2O5 - 20%K2O +9,9%S - FERTILIZANTE MINERAL MISTO; 78.971,19 
FERTILIZANTE: 36%N - 00%P2O5 - 12%K2O; 93.600,00 
FERTILIZANTE: FOSFATO MONOAMONICO 11%N - 52%P2O5 (CNA + H2O) 44%P2O5 (H2O); 139.110,00 
FERTILIZANTE: UREIA 46%N Gr- MINERAL SIMPLES; 106.473,60 
FERTILIZANTES; 103.342,72 
FERTILIZANTES MINERAL MISTO; 114.011,94 
FERTLIZANTE MINERAL COMPLEXO YARAMILA 16 16 16 GRANULADO; 86.225,89 
FERTSUPER SIMPLES - SSP 00.19.00; 42.210,00 
FESI / 0/3; 139.546,43 
FESI 0/3 MM; 150.284,47 
FESI 75 0/3 75%; 154.102,42 
FESIMN 12/16; 117.758,07 
FESIMN 12/16 10 X 60MM; 206.974,45 
FeSiMn bitolado 3x10mm; 86.517,24 
FESIMN FINOS 0 X 3 MM; 42.464,25 
FesiMn granulado 12 a 16; 262.513,27 
FeSiMn granulado 16 a 20; 197.683,94 
FeSiMn granulado 16 a 20 BP; 179.251,95 
FIBRA DE CELULOSE MULCH ORG. NATURAL PROCESSADO; 30.303,00 
FIBRA TRATAMENTO PRIMARIO; 28,01 
FILME N/TER POLI 0,04 X500MM; 140.039,25 
FILT FILTRALITE PURE NC 0,8-1,6 M3; 177.319,69 
FILTRADO DE ENXOFRE; 14.128,70 
FINO CONCENTRADO BAIXO TEOR; 440,85 
FINO DE COQUE; 83.790,93 
FINO DE MINERIO DE FERRO PENEIRADO 2 A 4MM; 9.826,82 
FINOS DE BRICAO; 11.838,64 
FINOS DE CARVÃO; 2.181,61 
FINOS DE CARVÃO VEGETAL; 3.176,79 
FINOS DE MINERIO < 6,35 MM; 8.115,56 
FINOS DE MINERIO DE FERRO; 17.356,47 
FINOS DE MINERIO DE FERRO PENEIRADO; 1.314,00 
FINOS DE MINERIO PELLET FEED; 2.844,92 
FINOS FERRO GUSA FORMATO IRREGULAR DO PE; 29.578,05 
FINOS MINERIO MANGANES 2-6MM; 13.513,09 
FIO MAQ 5,5mm 1008 RLI 8t; 180.402,40 
FIO MAQ 5,5MM 1011 RL 1,8T; 127.438,93 
FIO MAQUINA TREFILAÇÃO BS70A 7,00; 213.640,03 
FITA POLI 16X0,85MM; 1.147,72 
FK CAL VIRGEM LD GRANEL; 36.099,51 
FL-178-BR 1000KG BB L H08 J204; 126.231,10 
FL-AC10-BR 25 KG PS K F04 J059; 390.964,54 
FLAKESMIX/1 200KG/BG NCM: De milho; 24.840,00 
FLAKESMIX/50 KG/RF; 86.140,96 
FLANGE-CEGO FC.10XP 500; 157.034,70 
FL-NP00-BR 25 KG BP X F04 J432; 89.271,88 
FLOCAO PROVATTI20X400; 65.040,00 
FLOCKMIX/25 KG/RF NCM: DE MILHO; 88.865,30 
FLONEX 934 SH; 169.057,68 
FLOTICOR PA; 117.317,06 
FLUORITA FLOTADA; 64.148,81 
FLUORITA METALURGICO; 44.842,50 
FL-WF34S-BR 1000KG BB L H08 J204; 174.873,89 
FL-WF34S-BR 1500KG BB L H08 J252; 156.829,54 
FL-YN10-BR 1000 KG BB L H08 J204; 101.756,69 
FM 10,50 BL82 A 202 004DPAR_PROTENDIDO; 266.042,53 
FM 10,50 BL82 A 202 098BBA PRO (B); 120.629,04 
FM 12,70 BL82 A 202 004DPAR; 104.719,67 
FM 14.30 1015 L 210 002FIXS; 127.953,58 
FM 15,90 1045 D 210 100SABDBAR-F02; 118.104,05 
FM 17,50 BL15 S 202 102RIO DA PEDRAS; 146.509,38 
FM 17,50 PL30 D 210 084FIXS; 171.504,90 
FM 19,05 PL22 D 210 084FIXS; 169.321,46 
FM 22,50 38M6 D 210 100SAB-F2-38Mn6; 137.853,14 
FM 22,50 HK60 D 210 100SABDBAR-F02; 121.762,49 
FM 5,50 1006 L 202 001MI; 117.877,51 
FM 5,50 1040 D 202 004DPAR; 44.721,87 
FM 5,50 1045 A 202 001MORLAN; 127.327,27 
FM 5,50 1070 A 210 090INDUSTRIAS MORENO; 137.094,11 
FM 5,50 P256 A 202 098 BE14 FAI; 204.412,32 
FM 6,00 1018 A 202 999SARKIS; 82.912,08 
FM 6,50 1006 L. 202 00 001 MI; 114.664,36 
FM 6,50 PA03 L 210 002FIXS; 152.744,67 
FM TREFILACAO 1060 A 210 5,50 MM; 165.198,94 
FM-LD-SR-C 20 KG E2 X N01 J413; 410.762,00 
FM-LD-SR-C 750 KG BB L M02 J211; 305.629,80 
FNR BioPhós 27 Granel; 47.708,78 
FORMAIS 03-17-00; 47.247,92 
FORTE.NPK NK3600 12 360012 1000 KG; 115.050,00 
FOSCALCIO 19 - ST BIG BAG 1500KG; 154.676,41 
FOSCALCIO 19 MICROGRANULADO - GRANEL; 203.640,23 
FOSCALCIO MICROGRANULADO 19; 181.236,68 
FOSF.MON - MAP .FARELADO; 122.300,63 
FOSFATO; 46.884,29 
FOSFATO DE CALCIO NATURAIS PHOSP. ROCK MIN 29,5% P205; 32.584,84 
FOSFATO MONOAMÔNICO (MAP); 125.299,75 
FOSFATO MONOAMONICO (MAP) - FARELADO; 127.050,56 
FOSFATO MONOAMONICO (MAP) - FERTILIZANTE MINERAL; 109.648,07 
FOSFATO MONOAMONICO (MAP) - GRANULADO; 141.490,33 
FOSFATO MONOAMONICO (MAP) 11%N TOTAL 52% P2O5 SOL.; 128.249,69 
FOSFATO MONOAMONICO GRANULADO; 131.361,46 
FOSFATO MONOAMONICO GRANULADO - MAP; 149.955,70 
FOSFATO MONOAMONICO GRANULADO (MAP) COM TEOR DE 11% DE NITROGENIO E 52% DE P2O5; 106.927,37 
FOSFATO MONOAMONICO GRANULADO-MAP; 128.326,42 
FOSFATO MONOAMONICO MAP 11% DE N TOTAL 52% P205 CNAH20; 124.309,04 
FOSFATO MONOAMONICO MAP GR 12.52.00 (MATERIA-PRIMA); 129.782,45 
FOSFATO MONOAMONICO MAP GRANULADO; 157.727,56 
FOSFATO MONOAMONIO GRAN GRANEL; 163.609,21 
FOSFATO NATURAL; 30.122,98 
FOSFATO NATURAL REATIVO (00002 FERTILIZANTE; 13.163,86 
FOSMAIS - 00 23 00; 86.127,99 
FOSMAIS - 03 17 00; 49.231,30 
FOSMAIS 00.18.00; 46.397,15 
FOSMAIS 00-23-00; 68.123,78 
FOSMAIS 03-17-00; 46.260,98 
FRACAO DE FINOS (SPL) ONU 3170; 1.816,87 
FT-119-BR 1000KG BB L H08 J204; 265.116,79 
FT-NN20-BR 20KG PS K F04 J022; 138.602,92 
FT-NX95H-BR 1000 KG BB L H08 J204; 109.161,03 
FT-NX95H-BR 500 KG BB L H08 J206; 105.383,72 
FUBA FLOTAFINO GRANEL 1000; 42.802,11 
GARFO EMPILHADEIRA Hyundai 160D; 185.451,01 
GARRA INJ GAS GI-AFX0001S (P); 3.276,86 
GAX INJ GAS; 12.648,83 
GAXETA INJ GAS GI-CVD0005 (P); 9.651,26 
GERGELIM; 227.633,42 
GERGELIM BRANCO 50 KG; 269.467,81 
GERMIX / 1T / GRANEL; 32.672,03 
GESSO; 7.927,57 
GESSO AGRICOLA; 5.697,16 
GESSO AGRICOLA PLUS; 8.171,39 
GESSO AGRICOLA PRIME GR; 11.791,50 
GESSO AGRICOLA PRO GR; 10.021,39 
GESSO BRITADO; 2.453,98 
GESSO NATURAL; 16.987,94 
GESSO NATURAL PUREZA MAIOR 78%; 10.706,83 
GESSO RECICLADO; 802,62 
GIPSITA BRITADA; 2.675,76 
GIPSITA BRITADA PARA CIMENTO; 1.706,25 
GOTAO DE ALUMINIO; 390.954,64 
GRAFITE C92/12BRQ - BIG BAG 500 KG UNICA; 157.122,00 
GRAFITE SINTETICO 0 ,5-5 MM; 5.548,65 
GRAMP R ACO ES 5,00MM 20-28 DIN11024(T); 120.744,97 
GRANALHA DE ACO LC-1000 CO ITEM; 107.793,00 
GRANALHA DE COBRE; 1.070.061,25 
GRANULADO; 14.394,31 
GRANULADO DE MINERIO DE FERRO; 11.400,00 
GRANULADO GROSSO; 4.121,30 
GRANULADO MIN. DE FERRO; 13.514,46 
GRANULADO.; 9.545,06 
GREEN DELAYED PETROLEUM COKE; 22.383,31 
GROUND LIME 00/03 MM; 19.463,69 
GT-CSP-AF1-BR 1500KG BB L V03 J750; 412.962,26 
GT-GA-CSNAF2BR 1000KG BB L H08 J256; 368.771,43 
GT-GANMCSNAF3B 1500KG BB L F04 J279; 413.244,98 
GUSA; 136.742,86 
GUSA FABRICADO; 135.528,71 
GUSA SOLIDO; 68.549,69 
HA-NN35-BR 1000 KG BB L H08 J204; 162.883,85 
HA-NN35-BR 1500KG BB L H08 J258; 178.943,84 
HA-NN35-BR 500 KG BB L H08 J206; 141.901,26 
HA-NN55-BR 1000 KG BB L H08 J204; 126.444,85 
HA-NN55-BR 500 KG BB L H08 J206; 119.346,15 
HD120965 XGCM 3979; 256.385,10 
HEMATITA GRANULADA IPÊ; 9.808,16 
HEMATITA GRANULADA SERRA AZUL; 6.548,61 
HEMATITINHA; 18.169,56 
HEMATITINHA STANDARD LASTRO; 1.816,67 
HH CH ADITIVADA MASSICAL GRANEL H-02; 13.576,92 
HIDRAX; 33.140,96 
HIDRAX BAN; 31.785,64 
HIDRAX BF; 41.077,48 
HIGH GRADE SPODUMENE CONCENTRATE; 166.239,32 
HIPHOS 19  F GRANEL; 30.630,72 
HULHA BETUMINOSA - METALLURGICAL  COAL HVB; 35.632,12 
HULHA BETUMINOSA - THRMAL COAL; 24.457,18 
HYDRA HUME (20LTs); 233.801,81 
HYDRA-HUME DG COATED 0-0-1; 147.488,83 
I - ACTIVE 12%; 12.517,20 
I25/0 DGUK 2724; 195.673,17 
I30/0 DGUK 2211; 129.410,33 
I30/0 DGUK 2724; 223.740,41 
I30/0 DGUK 4691; 215.850,67 
IA9X41/2X3-21/2 NGGNO 5326; 196.506,42 
IAS1106B35-70 XGRHP 6777; 271.193,14 
IAS1301B35 XGRZP 0290; 280.706,01 
IBWC-04451-003C XGCH 7940; 9.324,00 
ICP1208B75-100 NGUKS 5495; 429.257,56 
ICZ1405B25 NGUPH 6772; 372.215,45 
IEAF-NF55/4020X5 MGUSCN 0995 BZ; 140.632,38 
ILS71040102 FID 26338; 555.982,76 
IMK 6/30 DGUK 2211; 241.209,39 
IMK 6/30 YB DGUK 2211; 211.519,17 
IMK6/10YB DGUK 2204; 141.569,24 
IMK6/20 DGUK 2730; 152.904,35 
IMK6/20 YB DGUK 2204; 129.211,87 
IMK6/20 YB DGUK 2211; 231.205,17 
IMK6/30 DGUK 4693; 327.308,77 
IMK6/8 DGUK 2730; 166.650,38 
IP171/K19 FFSZ 29473; 546.355,86 
ISOL TER FIB CER 76MM 1260 250; 165.734,12 
ISS50030102 FID 26737; 507.507,74 
ISS50210102 FID 26737; 674.692,05 
ISS5028020I FID 26737; 484.723,08 
IT100030  XGCM 5910; 372.618,49 
IT100030 XCCM 4099 1; 370.864,17 
IT108930  XGCM 5910; 435.421,49 
IT108930 XGCM 4099 1; 238.243,17 
IT33 XGCM 5910; 136.088,37 
ITI04647  XGCM 5910; 596.855,85 
ITI108930 XGCM 5910; 354.590,45 
IY67AF663TX FPY 22019; 642.074,42 
IY67AF688TX FPY 22019; 858.015,62 
JRA-D1-US 20 KG PE U P73 Y004; 143.680,81 
JT-LP10-BR 500 KG BB L H08 J206; 115.749,37 
JT-NC11-BR 500 KG BB L H08 J206; 221.290,40 
JUNÇÃO YFF.10/16XP_MI 100 100; 642.707,57 
JUNTA VED INJ GAS CAD-12508590 (p); 9.959,14 
JUNTA-DESM JDTA R08.10 200; 227.980,37 
JUNTA-DESM JDTA R08.10 400; 236.710,16 
JUNTA-DESM JDTA_R08.10 500; 37.550,02 
JUNTA-DESM JDTA_R08.10 600; 335.676,20 
JUNTA-DESM JDTA_R08.10/16 100; 99.799,92 
K131/2X3X102N1C NGUKI 3530; 383.638,32 
K40 - 40 00 00 FERTILIZANTE MINERAL; 81.634,22 
K40 - 40 00 00 FERTILIZANTE MINERAL MISTO; 50.768,26 
KCL; 51.773,42 
KCL 60 GR; 72.444,88 
KCL 60% (000029 - FERTILIZANTE MINERAL SIMPLES; 66.175,28 
KCL 60%-CLORETO DE POTASSIO; 54.730,40 
KCL Em Po Branco; 87.853,63 
KIESERITA +B; 90.904,73 
KIT-DE-TRAV-EXT KIT_JTE 500; 206.069,64 
KMAG 21,5%; 98.991,50 
KORN KALI; 51.324,87 
LAMA COM FLUORITA 0 A 10MM; 4.326,30 
LAMA DE ACIARIA FINA; 57,68 
LAMA DO ESPESSADOR DA REDUÇÃO - AFI/AFII; 1.619,00 
LAMA FINA ( MIX); 104,42 
LAMA FINA ACIARIA LD (INS); 70,59 
LAMA FINA AODL - COP; 0,27 
LAMA FINA DE ACIARIA; 70,80 
LAMA GROSSA AODL 3XX; 0,24 
LANCA DE NITROGENIO; 100.032,15 
LATERITA; 123,46 
LATEX DE BORRACHA NATURAL KG; 161.874,95 
LAVRA MINA PESQ/DEF BLOCO ECONOMICO; 78.417,41 
LEG-140-1,2-2B 25 KG PS K F04 J058; 402.149,75 
LG FLUX 5/50; 52.650,00 
LIGA ALUMINIO DEOX B GOTAO 0, 100KG; 312.718,64 
LIGA ALUMINIO DEOX I GOTAO 0,05KG; 284.911,20 
LIGA FE SI MN 12-18% GRAN 10-80 MM; 340.163,34 
LIGAS DE ALUMINIO; 368.590,50 
LINTER DE ALGODÃO; 60.242,40 
LIQUIDO ANTIANDER 20LITROS HESCLEAN SURF; 700.621,46 
LO; 11.983,43 
LONA DESLIZANTEE 15X30M; 1.586,42 
LOTHAR PO; 58.100,00 
LS100108V01 XIGH 8126; 128.866,61 
LS100179V01 XIGH 8126; 109.609,91 
LS57090102 XIGH 8126; 438.189,73 
LS71060103  XIGH 8126; 490.941,27 
LS71060103 XIGH 8126; 534.292,84 
LUMP; 17.826,92 
LUMP ORE HIGH GRADE; 15.302,60 
LUMP ORE STANDART GRADE; 19.902,31 
LUVA ULTRALINKNGJ. 16 250; 56.482,80 
LUVA VAL GAV; 41.089,55 
LUVA VAL GAV G018606 (P); 63.319,21 
LUVA-DE-CORRER LCRJMDI 854 548; 414.143,41 
M. CROMO DISSEMINADO; 861,62 
MADEIRA SERRADA DE TECA EM BLOCOS-TECTO NA GRANDIS; 59.915,86 
MAGNESITA BRIT 0,50-0,10mm; 2.074,54 
MAGNESITA CONCENTRADA; 1.954,33 
MAGNESITA M30 <3/8; 503,04 
MAGNETITA; 1.567,48 
MAGNETITA CONCENTRADA - MAGSIX; 6.376,91 
MANGANES (MN) ELETROLITICO ESCAMA; 519.214,74 
Manganês (Mn) Eletrolítico Escama; 426.136,25 
MANGANÊS (MN)METALICO BRIQUETE; 535.875,67 
MANGANES ELETROLITICO EM BRIQUETES; 376.920,00 
MANGANES LUMP HIGH GRADE; 25.286,99 
MANGANES METALICO; 437.758,94 
MANGANES(MN) METALICO BRIQUETE; 586.176,01 
MAP; 142.771,18 
MAP 10-50; 128.452,50 
MAP 10-51-00; 132.659,96 
MAP 11-52-00; 133.483,92 
MAP 12.52.00; 123.875,97 
MAP FOSFATO MONOAMONICO GRAN. COM MIN. DE 11% DE N E 52% DE P205 A GRANEL; 128.249,53 
MAP GR; 115.377,98 
MAP GR - FOSFATO MONOAMONICO; 131.701,57 
MAP GRANULADO 12-52 - IMP MAP GRANULADO; 129.230,14 
MAP PO - FOSFATO MONOAMONICO; 101.107,13 
MAP PURIFICADO B2B AGR SAC 25KG (IMPR); 210.900,00 
MAP PURIFICADO FOSFATO MAP (CRISTAL) CONTENDO NO MINIMO 12% DE NITROGENIO (AZOTO) SOLUVEL EM AGUA E; 159.577,62 
MAQUINA PROJ MD GUN CS16599A00V; 155.885,14 
MAQUINA PROJECAO 40KG ALLENT N1; 37.890,00 
MARTEL PNEU 1600IPM BRO MQB10TR (I); 309.990,04 
MASSA REFRATARIA ALUMINOSA; 359.609,44 
MASSA REFRATARIA ALUMINOSA DIDURIT; 124.340,98 
MASSA REFRATARIA ALUMISOSA GRAFITAP; 412.826,06 
MASSA REFRATARIA MAGNESIANA; 263.724,55 
MASSA REFRATARIA MAGNESIANA ANKERFRIT; 223.333,17 
MASSA REFRATARIA MAGNESIANA ANKERMIX; 128.691,62 
MASSA REFRATARIA MAGNESIANA ANKERTUN; 111.212,80 
MASSA REFRATARIA MAGNESITA; 103.000,00 
MASSA REFRATARIA OUTROS ANKERFILL; 143.525,06 
MASSA REFRATARIA TIPO KOTIBAR 1000; 49.297,25 
MASSA REFRATARIA, ALUMINOSA CARSIT; 409.394,55 
MASSA REFRATARIA, ALUMINOSA COMPRIT; 272.915,74 
MASSA REFRATARIA, ALUMINOSA COMPRIT M64S-5-BR-S479186; 147.337,05 
MASSA REFRATARIA, ALUMINOSA DIDURIT A89CRS-12-BR; 412.335,41 
MASSA REFRATARIA, ALUMINOSA DIPLASTIT B71-5BR; 221.712,89 
MASSA REFRATARIA, ALUMINOSA DIRAM DRY B81-5-; 206.093,92 
MASSA REFRATARIA, ALUMINOSA GRAFITAP; 386.790,68 
MASSA REFRATARIA, ALUMINOSA RESIMUR; 125.714,36 
MASSA REFRATARIA, ALUMINOSA RESITECT A88PCR-02 E25-BR; 101.243,38 
MASSA REFRATARIA, DOLOMITICA JEBCO RAM D1; 134.643,66 
MASSA REFRATARIA, MAGNESIANA ANKERFILL 178-BR; 105.711,49 
MASSA REFRATARIA, MAGNESIANA ANKERFILL AC10-BR; 299.916,03 
MASSA REFRATARIA, MAGNESIANA ANKERFILL YN10-BR; 106.580,20 
MASSA REFRATARIA, MAGNESIANA ANKERFRIT NN20-BR; 31.772,76 
MASSA REFRATARIA, MAGNESIANA ANKERHARTH NN55-BR; 94.649,63 
MASSA REFRATARIA, MAGNESIANA ANKERTUN FF10-BR; 112.044,57 
MATERIAIS DIVERSOS; 840.483,16 
MATERIA-PRIMA, MAGNESIANA, MAGNES.; 79.063,86 
MC 00-20-00+16CA+10S+0,1B+0,05MN+0,2ZN; 67.594,83 
MC 00-21-00+16CA+10S; 72.569,34 
MC 20/10 16CA 8S/SO4 SSP 20%; 38.969,37 
MED VAZ ROT 1&APOS; 931,82 
MED VAZ ROT 3/4 1600L/H GEMUR0857025(I); 1.786,23 
METAL DE SILICIO CONTAMINADO COM ESCORIA NA FORMA EM QUE SE ENCONTRA; 24.487,83 
MFL0055705 - 60.32x5.54-X42N-BE-L2-10668-13716-FXA; 122.061,33 
MG 00-25-00; 71.655,16 
MG108499 XGCC 4031; 104.968,72 
MG124030 XGCC 4031; 44.180,90 
MI-CS11-BR 25 KG PS K F04 J059; 165.871,20 
MILHETO EM GRAO; 25.635,63 
MILHO; 51.585,29 
MILHO A GRANEL; 33.740,10 
MILHO BENEFICIADO; 66.007,36 
MILHO DE PIPOCA/25KG/RF/BUTTER; 81.493,33 
MILHO EM GRAO ORIUNDO DE CAMPO DE SEMENTES; 18.595,38 
MILHO EM GRAOS; 51.133,41 
MILHO GRANEL; 37.818,98 
MILHO GRAO INDUSTRIA; 25.245,00 
MILHO GRAOS; 51.827,25 
MILHO POLIDO - 11  KGDG; 44.687,50 
MIN FE SINTER FEED T 1; 10.448,22 
MINERFLUX; 62.839,82 
MINERIO; 20.191,00 
MINERIO  DE ZINCO CONCENTRADO; 310.999,70 
MINERIO BAUXITA; 6.727,47 
MINERIO CARAJAS FINOS PENEIRADO; 556,41 
MINERIO CONCENTRADO DE COBRE; 579.859,31 
MINERIO DE CROMO; 123.293,06 
MINERIO DE CROMO CONCENTRADO REFINO JACURICI - UMIDO; 155.273,50 
MINERIO DE FERRO; 9.172,85 
MINERIO DE FERRO - SINTER FEED; 14.073,29 
MINERIO DE FERRO 31MM; 9.231,04 
MINERIO DE FERRO 38MM; 17.194,53 
MINERIO DE FERRO AGLOMERADO (PELOTA); 23.061,60 
MINERIO DE FERRO FINO VETORIAL; 9.920,13 
MINERIO DE FERRO HEMATITINHA; 12.864,13 
MINERIO DE FERRO HEMATITINHA TIPO A; 13.924,11 
MINERIO DE FERRO LUMP 38MM; 7.725,83 
MINERIO DE FERRO LUMP ORE; 6.849,06 
MINERIO DE FERRO NAO AGLOMERADO; 17.218,41 
MINERIO DE FERRO NAO AGLOMERADO (PELOTA); 21.552,37 
MINERIO DE FERRO SINTER FEED; 11.557,38 
MINERIO DE FERRO SINTER FEED TIPO 1; 9.999,67 
MINERIO DE MAGANES ABAIRA GRANULADO; 21.797,65 
MINERIO DE MANGANES; 22.247,65 
MINERIO DE MANGANES FINO; 13.463,96 
MINERIO DE MANGANES GRANULADO MSL 40; 22.977,61 
MINERIO DE NIQUEL; 258.653,94 
MINERIO DE ZINCO CONCENTRADO; 262.609,26 
MINERIO FE JIGAD SINTER FEED TONELADA; 9.920,12 
MINERIO FERRO FINO CORUMBA; 14.818,24 
MINÉRIO GRANULADO; 7.286,00 
MINERIO MAGNESIANO GRANULADO; 5.684,34 
MINERIO MAGNESIANO GRANULADO 10MM A 40MM; 25.495,29 
MINERIO MAGNESIANO SINTER FINO; 5.008,03 
MINERIO MAGNESIANO SINTER FINO BLEND; 7.991,55 
MINERIO MAGNESIANO SINTER GROSSO; 68.220,00 
MINERIO MAGNESIANO SINTER GROSSO BLEND; 19.441,42 
MINÉRIO MANGANÊS; 19.473,87 
MINERIO MANGANES FINO; 12.662,68 
MINERIO Mn  SILICIO CARBONATADO GRANULADO; 7.412,29 
MINERIO Mn MM SILICIO CARBONATO FINO; 5.510,95 
MINERIO MN SILICO CARBONATADO GRANULADO; 6.955,63 
MINERIO MN SUL AFRICANO FINO BAIXO TEOR; 13.352,63 
MINERIO MN URUCUM GRANULADO ACABADO STD; 35.874,31 
MINERIO SINTER FEED; 10.405,59 
MINERIO SUL AFRICANO; 12.445,30 
MINERIO UNIVERSAL MINERALS P/REV. CWC; 32.919,13 
MINERIO, FE, 25MM, TONELADA; 22.673,83 
MINERIO, FE, 31 MM , TONELADA; 9.056,09 
MINERIO, FE, 38MM,TONELADA; 11.789,82 
MINERIO, FE, SINTER FEED, TONELADA; 8.918,20 
MI-NP11-BR 25 KG PS K F04 J059; 102.649,86 
MI-NP13-BR 25 KG PS K F04 J059; 158.852,35 
Miscelanea Siderurgica; 22.090,00 
